Items,Rule-X,Rule-Y,Support,Confidence,Lift
"['whole wheat pasta', 'olive oil', 'nan']","['whole wheat pasta', 'nan']",['olive oil'],0.0080%,0.2715%,4.1224%
"['whole wheat pasta', 'olive oil']",['whole wheat pasta'],['olive oil'],0.0080%,0.2715%,4.1224%
"['shrimp', 'pasta', 'nan']","['pasta', 'nan']",['shrimp'],0.0051%,0.3220%,4.5067%
"['shrimp', 'pasta']",['pasta'],['shrimp'],0.0051%,0.3220%,4.5067%
"['shrimp', 'ground beef', 'spaghetti', 'nan']","['shrimp', 'ground beef', 'nan']",['spaghetti'],0.0060%,0.5233%,3.0053%
"['shrimp', 'ground beef', 'spaghetti']","['shrimp', 'ground beef']",['spaghetti'],0.0060%,0.5233%,3.0053%
"['pasta', 'nan', 'escalope']","['pasta', 'nan']",['escalope'],0.0059%,0.3729%,4.7008%
"['pasta', 'escalope']",['pasta'],['escalope'],0.0059%,0.3729%,4.7008%
"['pancakes', 'olive oil', 'spaghetti', 'nan']","['pancakes', 'spaghetti', 'nan']",['olive oil'],0.0051%,0.2011%,3.0529%
"['pancakes', 'olive oil', 'spaghetti']","['pancakes', 'spaghetti']",['olive oil'],0.0051%,0.2011%,3.0529%
"['olive oil', 'mineral water', 'soup', 'nan']","['mineral water', 'soup', 'nan']",['olive oil'],0.0052%,0.2254%,3.4230%
"['olive oil', 'mineral water', 'soup']","['mineral water', 'soup']",['olive oil'],0.0052%,0.2254%,3.4230%
"['mushroom cream sauce', 'nan', 'escalope']","['mushroom cream sauce', 'nan']",['escalope'],0.0057%,0.3007%,3.7908%
"['mushroom cream sauce', 'escalope']",['mushroom cream sauce'],['escalope'],0.0057%,0.3007%,3.7908%
"['milk', 'olive oil', 'spaghetti', 'nan']","['milk', 'spaghetti', 'nan']",['olive oil'],0.0072%,0.2030%,3.0825%
"['milk', 'olive oil', 'spaghetti']","['milk', 'spaghetti']",['olive oil'],0.0072%,0.2030%,3.0825%
"['milk', 'ground beef', 'olive oil', 'nan']","['milk', 'ground beef', 'nan']",['olive oil'],0.0049%,0.2242%,3.4049%
"['milk', 'ground beef', 'olive oil']","['milk', 'ground beef']",['olive oil'],0.0049%,0.2242%,3.4049%
